category_id,category_name
sr:category:181,Hopman Cup
sr:category:3,ATP
sr:category:72,Challenger
sr:category:6,WTA
sr:category:76,Davis Cup
sr:category:74,Billie Jean King Cup
sr:category:785,ITF Men
sr:category:213,ITF Women
sr:category:871,WTA 125K
sr:category:1012,IPTL
sr:category:79,Exhibition
sr:category:1474,Juniors
sr:category:1476,Wheelchairs
sr:category:1475,Legends
sr:category:2400,Wheelchairs Juniors
sr:category:2414,United Cup
sr:category:2517,UTR Women
sr:category:2516,UTR Men
