competition_id,competition_name,parent_id,type,gender,category_id
sr:competition:620,Hopman Cup,NULLABLE,mixed,mixed,sr:category:181
sr:competition:660,World Team Cup,NULLABLE,mixed,men,sr:category:3
sr:competition:990,ATP Challenger Tour Finals,sr:competition:6239,singles,men,sr:category:72
sr:competition:1207,Championship International Series,NULLABLE,singles,women,sr:category:6
sr:competition:2100,Davis Cup,NULLABLE,mixed,men,sr:category:76
sr:competition:2102,Billie Jean King Cup,NULLABLE,mixed,women,sr:category:74
sr:competition:2555,Wimbledon Men Singles,sr:competition:2553,singles,men,sr:category:3
sr:competition:2557,Wimbledon Men Doubles,sr:competition:2553,doubles,men,sr:category:3
sr:competition:2559,Wimbledon Women Singles,sr:competition:2553,singles,women,sr:category:6
sr:competition:2561,Wimbledon Women Doubles,sr:competition:2553,doubles,women,sr:category:6
sr:competition:2563,Wimbledon Mixed Doubles,sr:competition:2553,mixed_doubles,mixed,sr:category:3
sr:competition:2567,Australian Open Men Singles,sr:competition:2565,singles,men,sr:category:3
sr:competition:2569,Australian Open Men Doubles,sr:competition:2565,doubles,men,sr:category:3
sr:competition:2571,Australian Open Women Singles,sr:competition:2565,singles,women,sr:category:6
sr:competition:2573,Australian Open Women Doubles,sr:competition:2565,doubles,women,sr:category:6
sr:competition:2575,Australian Open Mixed Doubles,sr:competition:2565,mixed_doubles,mixed,sr:category:3
sr:competition:2579,French Open Men Singles,sr:competition:2577,singles,men,sr:category:3
sr:competition:2581,French Open Men Doubles,sr:competition:2577,doubles,men,sr:category:3
sr:competition:2583,French Open Women Singles,sr:competition:2577,singles,women,sr:category:6
sr:competition:2585,French Open Women Doubles,sr:competition:2577,doubles,women,sr:category:6
sr:competition:2587,French Open Mixed Doubles,sr:competition:2577,mixed_doubles,mixed,sr:category:3
sr:competition:2591,US Open Men Singles,sr:competition:2589,singles,men,sr:category:3
sr:competition:2593,US Open Men Doubles,sr:competition:2589,doubles,men,sr:category:3
sr:competition:2595,US Open Women Singles,sr:competition:2589,singles,women,sr:category:6
sr:competition:2597,US Open Women Doubles,sr:competition:2589,doubles,women,sr:category:6
sr:competition:2599,US Open Mixed Doubles,sr:competition:2589,mixed_doubles,mixed,sr:category:3
sr:competition:2603,"ATP Doha, Qatar Men Singles",sr:competition:2601,singles,men,sr:category:3
sr:competition:2605,"ATP Doha, Qatar Men Doubles",sr:competition:2601,doubles,men,sr:category:3
sr:competition:2613,"ATP Basel, Switzerland Men Singles",sr:competition:2611,singles,men,sr:category:3
sr:competition:2615,"ATP Basel, Switzerland Men Doubles",sr:competition:2611,doubles,men,sr:category:3
sr:competition:2619,"ATP Brisbane, Australia Men Singles",sr:competition:2617,singles,men,sr:category:3
sr:competition:2621,"ATP Brisbane, Australia Men Doubles",sr:competition:2617,doubles,men,sr:category:3
sr:competition:2625,"ATP Chennai, India Men Singles",sr:competition:2623,singles,men,sr:category:3
sr:competition:2627,"ATP Chennai, India Men Doubles",sr:competition:2623,doubles,men,sr:category:3
sr:competition:2631,"ATP Auckland, New Zealand Men Singles",sr:competition:2629,singles,men,sr:category:3
sr:competition:2633,"ATP Auckland, New Zealand Men Doubles",sr:competition:2629,doubles,men,sr:category:3
sr:competition:2637,"ATP Sydney, Australia Men Singles",sr:competition:2635,singles,men,sr:category:3
sr:competition:2639,"ATP Sydney, Australia Men Doubles",sr:competition:2635,doubles,men,sr:category:3
sr:competition:2649,"ATP Zagreb, Croatia Men Singles",sr:competition:2647,singles,men,sr:category:3
sr:competition:2651,"ATP Zagreb, Croatia Men Double",sr:competition:2647,doubles,men,sr:category:3
sr:competition:2661,"ATP Paris, France Men Singles",sr:competition:2659,singles,men,sr:category:3
sr:competition:2663,"ATP Paris, France Men Doubles",sr:competition:2659,doubles,men,sr:category:3
sr:competition:2667,"ATP Dubai, UAE Men Singles",sr:competition:2665,singles,men,sr:category:3
sr:competition:2669,"ATP Dubai, UAE Men Doubles",sr:competition:2665,doubles,men,sr:category:3
sr:competition:2673,"WTA Pattaya City, Thailand Women Singles",sr:competition:2671,singles,women,sr:category:6
sr:competition:2675,"WTA Pattaya City, Thailand Women Doubles",sr:competition:2671,doubles,women,sr:category:6
sr:competition:2679,"ATP Rotterdam, Netherlands Men Singles",sr:competition:2677,singles,men,sr:category:3
sr:competition:2681,"ATP Rotterdam, Netherlands Men Doubles",sr:competition:2677,doubles,men,sr:category:3
