competitor_id,name,country,country_code,abbreviation
sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV
sr:competitor:51836,"Arevalo-Gonzalez, Marcelo",El Salvador,SLV,ARE
sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT
sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO
sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA
sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA
sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB
sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT
sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV
sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK
sr:competitor:124658,"Purcell, Max",Australia,AUS,PUR
sr:competitor:50954,"Koolhof, Wesley",Netherlands,NLD,KOO
sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN
sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU
sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT
sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM
sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA
sr:competitor:16409,"Ebden, Matthew",Australia,AUS,EBD
sr:competitor:15307,"Bopanna, Rohan",India,IND,BRO
sr:competitor:38181,"Molteni, Andres",Argentina,ARG,MOL
sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS
sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS
sr:competitor:47834,"Murray, Jamie",Great Britain,GBR,MUR
sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG,GON
sr:competitor:16275,"Dodig, Ivan",Croatia,HRV,DOD
sr:competitor:106349,"Reboul, Fabien",France,FRA,REB
sr:competitor:206889,"Galloway, Robert",USA,USA,GAL
sr:competitor:112805,"Zielinski, Jan",Poland,POL,ZIE
sr:competitor:14553,"Ram, Rajeev",USA,USA,RAM
sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG
sr:competitor:81059,"Gille, Sander",Belgium,BEL,GIL
sr:competitor:56629,"Peers, John",Australia,AUS,PEE
sr:competitor:104917,"Vliegen, Joran",Belgium,BEL,VLI
sr:competitor:106559,"Doumbia, Sadio",France,FRA,DOU
sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV
sr:competitor:76263,"Matos, Rafael",Brazil,BRA,MAT
sr:competitor:16124,"Melo, Marcelo",Brazil,BRA,MEL
sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD,VER
sr:competitor:25189,"Krajicek, Austin",USA,USA,KRA
sr:competitor:114831,"Erler, Alexander",Austria,AUT,ERL
sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL
sr:competitor:78793,"Miedler, Lucas",Austria,AUT,MIE
sr:competitor:45105,"Behar, Ariel",Uruguay,URY,BEH
sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA
sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR
sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX,GON
sr:competitor:47966,"Olivetti, Albano",France,FRA,OLI
sr:competitor:48646,"Barrientos, Nicolas",Colombia,COL,BAR
sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE
sr:competitor:62410,"Johnson, Luke",Great Britain,GBR,JOH
sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ
sr:competitor:108755,"Jebens, Hendrik",Germany,DEU,JEB
sr:competitor:231188,"Frantzen, Constantin",Germany,DEU,FRA
sr:competitor:69362,"Mansouri, Skander",Tunisia,TUN,MAN
