complex_id,complex_name
sr:complex:705,Nacional
sr:complex:1078,Estadio de la Cartuja
sr:complex:1495,Sibur Arena
sr:complex:2375,Complexo de Tenis do Jamor
sr:complex:4032,Shree Shiv Chhatrapati Sports Complex
sr:complex:5520,O2 Arena
sr:complex:5526,Ostravar Arena
sr:complex:6310,Varazdin Arena
sr:complex:6484,Arena Montpellier
sr:complex:6736,Arenes de Metz
sr:complex:6888,Palais des sports de Pau
sr:complex:6890,Palais des Sports Orleans
sr:complex:6904,Stade Pierre-de-Coubertin
sr:complex:7048,Palacio de Deportes Jose Maria Martin Carpena
sr:complex:7052,Pabellon Municipal Fuente San Luis
sr:complex:7208,Unipol Arena
sr:complex:7778,Arena Gripe
sr:complex:9725,Arena Armeets Sofia
sr:complex:10063,Kindarena
sr:complex:11769,Estadio German Becker
sr:complex:12241,Palais des sports de Gerland
sr:complex:15014,Palais Des Sport
sr:complex:15371,Palasport
sr:complex:16020,Salle Steredenn
sr:complex:16069,Garanti Koza Arena
sr:complex:16612,Porsche-Arena
sr:complex:17254,Poliesportiu d'Andorra
sr:complex:17945,Rotterdam Ahoy
sr:complex:18201,The O2
sr:complex:18221,Bluesun Tennis Center
sr:complex:19166,Shlomo Group Arena
sr:complex:19737,"Club Sonoma, Estadio Gnp Seguros"
sr:complex:19951,Accor Arena
sr:complex:21870,Stadium Goran Ivanisevic in ITC Stella Maris
sr:complex:21910,Roy Emerson Arena
sr:complex:26983,Club de Tenis Puente Romano
sr:complex:26985,National Tennis Center
sr:complex:27093,Canberra Tennis Centre
sr:complex:27095,BT Arena
sr:complex:28457,Valletta Cambiaso ASD
sr:complex:28617,Porsche Arena
sr:complex:28926,Royal Arena
sr:complex:32327,Taipei Arena
sr:complex:32403,Ohio State University GC
sr:complex:32668,Shenzhen Bay Sports Center
sr:complex:32812,Singapore Indoor Stadium
sr:complex:33186,Palais des Sports de Marseille
sr:complex:33188,Caja Magica
sr:complex:33190,All England Lawn Tennis and Croquet Club
