complex_id,venue_id,venue_name,city_name,country_name,country_code,timezone
sr:complex:705,sr:venue:70045,Cancha Central,Santiago,Chile,CHL,America/Santiago
sr:complex:1078,sr:venue:74856,Centre Court,Seville,Spain,ESP,Europe/Madrid
sr:complex:1078,sr:venue:74858,Court One,Seville,Spain,ESP,Europe/Madrid
sr:complex:1495,sr:venue:1496,COURT 1,Saint Petersburg,Russia,RUS,Europe/Moscow
sr:complex:1495,sr:venue:1500,CENTER COURT,Saint Petersburg,Russia,RUS,Europe/Moscow
sr:complex:1495,sr:venue:62149,Sibur Arena,Saint Petersburg,Russia,RUS,Europe/Moscow
sr:complex:1495,sr:venue:62153,TC Dynamo,Saint Petersburg,Russia,RUS,Europe/Moscow
sr:complex:2375,sr:venue:57912,Central,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:2375,sr:venue:70805,Campo 3,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:2375,sr:venue:70807,Campo 4,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:2375,sr:venue:77423,Campo 1,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:2375,sr:venue:77437,Campo 8,Oeiras,Portugal,PRT,Europe/Lisbon
sr:complex:5526,sr:venue:13912,Centre Court,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:5526,sr:venue:13914,Court 3,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:5526,sr:venue:13916,Court 6,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:5526,sr:venue:13942,Court 4,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:5526,sr:venue:55221,Court 1,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:5526,sr:venue:55223,Court 2,Ostrava,Czechia,CZE,Europe/Prague
sr:complex:6310,sr:venue:77271,Table 1,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77273,Table 2,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77275,Table 3,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77277,Table 4,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77279,Table 5,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77281,Table 6,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77283,Table 7,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6310,sr:venue:77285,Table 8,Varazdin,Croatia,HRV,Europe/Zagreb
sr:complex:6484,sr:venue:2146,Court 1,Montpellier,France,FRA,Europe/Paris
sr:complex:6484,sr:venue:19477,Court Patrice Dominguez,Montpellier,France,FRA,Europe/Paris
sr:complex:6484,sr:venue:30567,Court Central,Montpellier,France,FRA,Europe/Paris
sr:complex:6484,sr:venue:30569,Court 2,Montpellier,France,FRA,Europe/Paris
sr:complex:6484,sr:venue:39934,Court 3,Montpellier,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:66107,Court 2,Orchies,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:66109,Court 3,Orleans,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:66111,Court 4,Orleans,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:70605,Court 5,Orleans,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:74195,Center Court,Orleans,France,FRA,Europe/Paris
sr:complex:6890,sr:venue:74197,Court 1,Orleans,France,FRA,Europe/Paris
sr:complex:7048,sr:venue:72565,Pista Cental,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7048,sr:venue:72567,Pista 2,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7048,sr:venue:72569,Pista 3,Malaga,Spain,ESP,Europe/Madrid
sr:complex:7048,sr:venue:72571,Pista 4,Malaga,Spain,ESP,Europe/Madrid
sr:complex:9725,sr:venue:17756,Center Court,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:9725,sr:venue:17758,Court 1,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:9725,sr:venue:23352,Court 3,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:9725,sr:venue:23354,Court 4,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:9725,sr:venue:23356,Court 2,Sofia,Bulgaria,BGR,Europe/Sofia
sr:complex:10063,sr:venue:66889,Center Court,Rouen,France,FRA,Europe/Paris
sr:complex:10063,sr:venue:66925,Amelie Mauresmo,Rouen,France,FRA,Europe/Paris
sr:complex:10063,sr:venue:66979,Celine Dumerc,Rouen,France,FRA,Europe/Paris
sr:complex:10063,sr:venue:74546,Court 1,Rouen,France,FRA,Europe/Paris
sr:complex:11769,sr:venue:67857,Cancha Central,Temuco,Chile,CHL,America/Santiago
sr:complex:11769,sr:venue:67859,Cancha 1,Temuco,Chile,CHL,America/Santiago
sr:complex:11769,sr:venue:67861,Cancha 2,Temuco,Chile,CHL,America/Santiago
sr:complex:11769,sr:venue:67863,Cancha 3,Temuco,Chile,CHL,America/Santiago
sr:complex:12241,sr:venue:30465,Indoor 1,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:30467,Indoor 2,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:30469,Indoor 3,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:39773,Court 23,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:39842,Court 14,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:39844,Court 15,Lyon,France,FRA,Europe/Paris
sr:complex:12241,sr:venue:58692,Court 12,Lyon,France,FRA,Europe/Paris
sr:complex:15014,sr:venue:15010,La Foret 3,Orleans,France,FRA,Europe/Paris
sr:complex:15014,sr:venue:16880,Central Court,Orleans,France,FRA,Europe/Paris
sr:complex:15014,sr:venue:23652,La Foret 2,Orleans,France,FRA,Europe/Paris
sr:complex:15014,sr:venue:66105,Court 1,Orleans,France,FRA,Europe/Paris
